FID,tree_id,block_id,status,health,spc_common,NoDamage,address,zipcode,zip_city,boroname,nta_name,boro_ct
209478,249342,335556,Alive,Poor, , ,119-33 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209508,249396,335556,Alive,Good, ,NoDamage,119-24 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209509,249397,335557,Alive,Fair,Ginkgo,NoDamage,119-24 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209510,249398,335557,Alive,Fair,Ginkgo, ,119-27 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209511,249399,335557,Alive,Good, ,NoDamage,119-32 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209512,249400,335557,Stump, ,Sawtooth Oak,NoDamage,119-32 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209513,249401,335557,Alive,Fair,Sawtooth Oak,NoDamage,119-36 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209514,249402,335557,Alive,Fair,Sawtooth Oak,NoDamage,119-36 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209515,249403,335558,Alive,Good,Sawtooth Oak, ,119-33 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209516,249404,335558,Alive,Fair, , ,119-33 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209517,249405,335559,Alive,Good,Norway Maple,NoDamage,220-22 120 AVENUE,11411,Cambria Heights,Queens,Cambria Heights,4061000
209551,249439,335559,Alive,Fair,Cherry,Damage,221-10 120 AVENUE,11411,Cambria Heights,Queens,Cambria Heights,4061000
209552,249440,335559,Alive,Good,Norway Maple,NoDamage,120-04 222 STREET,11411,Cambria Heights,Queens,Cambria Heights,4061000
209553,249441,335559,Dead, ,Norway Maple,NoDamage,120-28 222 STREET,11411,Cambria Heights,Queens,Cambria Heights,4061000
209555,249453,335559,Alive,Fair,Japanese Zelkova,NoDamage,120-28 222 STREET,11411,Cambria Heights,Queens,Cambria Heights,4061000
209556,249454,335559,Alive,Good,Silver Maple,Damage,120-31 FRANCIS LEWIS BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209640,249554,335559,Alive,Good,Silver Maple,Damage,120-31 FRANCIS LEWIS BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209641,249555,335559,Alive,Good,Honeylocust var. inermis,Damage,120-19 FRANCIS LEWIS BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209642,249556,335379,Alive,Good,Honeylocust var. inermis,Damage,120-19 FRANCIS LEWIS BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209643,249557,335379,Alive,Fair,Honeylocust var. inermis,Damage,120-19 FRANCIS LEWIS BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209644,249558,335379,Alive,Fair,Pin Oak,NoDamage,220-10 120 AVENUE,11411,Cambria Heights,Queens,Cambria Heights,4061000
209645,249559,335532,Alive,Good,Sycamore Maple,Damage,220-10 120 AVENUE,11411,Cambria Heights,Queens,Cambria Heights,4061000
209646,249560,335532,Alive,Fair,London Planetree,NoDamage,116-34 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209647,249561,335532,Alive,Good,Honeylocust var. inermis,NoDamage,116-28 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209648,249562,335532,Alive,Fair,Honeylocust var. inermis,NoDamage,116-28 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209649,249563,335529,Alive,Good,Honeylocust var. inermis,NoDamage,116-28 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209650,249564,335529,Alive,Good,Honeylocust var. inermis,NoDamage,116-25 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209651,249565,335529,Alive,Good,Honeylocust var. inermis,NoDamage,116-25 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209652,249566,335529,Alive,Good,Honeylocust var. inermis,NoDamage,116-23 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209697,249628,335530,Alive,Fair,Honeylocust var. inermis,NoDamage,209-19 116 ROAD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209698,249629,335530,Alive,Fair,Honeylocust var. inermis,NoDamage,209-19 116 ROAD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209699,249630,335530,Alive,Fair,Honeylocust var. inermis, ,116-19 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4059800
209806,249781,335531,Stump, , ,NoDamage,115-100 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209807,249782,335531,Alive,Fair,Sophora,NoDamage,115-100 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209808,249783,335531,Alive,Good,Sophora,NoDamage,115-98 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209809,249784,335531,Alive,Fair,Sophora,NoDamage,115-98 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209810,249785,335531,Alive,Fair,Sophora,NoDamage,115-96 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209811,249786,335531,Alive,Fair,Sophora,NoDamage,115-94 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209812,249787,335634,Alive,Good,Sophora,NoDamage,115-90 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209813,249788,335634,Alive,Good,Sophora,NoDamage,115-88 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209814,249789,335634,Stump, ,Sophora, ,115-88 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209815,249790,335635,Dead, , ,NoDamage,115-86 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209816,249791,335636,Alive,Good,Sophora,Damage,115-86 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209817,249792,335636,Alive,Good,Mimosa,NoDamage,216-07 115 TERRACE,11411,Cambria Heights,Queens,Cambria Heights,4059800
209854,249837,335636,Alive,Good,Norway Maple,Damage,216-17 115 TERRACE,11411,Cambria Heights,Queens,Cambria Heights,4059800
209855,249838,335633,Alive,Fair,Norway Maple,NoDamage,216-20 115 TERRACE,11411,Cambria Heights,Queens,Cambria Heights,4059800
209907,249904,335633,Alive,Fair,Sweetgum, ,210-06 NASHVILLE BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4053401
209908,249905,337616,Alive,Poor, ,Damage,115-27 210 STREET,11411,Cambria Heights,Queens,Cambria Heights,4053401
209909,249906,337616,Stump, ,Red Maple,Damage,115-27 210 STREET,11411,Cambria Heights,Queens,Cambria Heights,4053401
